,날짜,리뷰,평점
73,2020.05.23 18:44,"별거없는거 같은데 계속해서 심장이 쫄깃하고 손을 가만히 둘수 없었다. 왜이렇게 불안하고 초조하고 떨리던지..!!!오롯이 영화에 빠져들 수 있었다. BGM도 한 몫 하는 듯 하다.별기대없이 봤던터라 만족감이 높을 수 있으나, 추천할만한 작품이었다!! ",10
74,2020.05.14 18:16,그저 미쳤다.... 와...,10
75,2020.05.24 22:22,마치 내가 탈출하는듯한  느낌!,10
76,2020.05.06 14:47,실화 개미쳤네,9
77,2020.06.05 05:10,해리포터 이녀석 보면 볼수록 연기가 참 좋아..,10
78,2020.06.04 20:29,,10
79,2020.06.04 19:55,계속 조마조마조마조마,10
80,2020.06.04 08:57,심장 개쫄렸다...  진짜,10
81,2020.06.04 05:30,오오 꿀잼. 기대이상입니다,10
82,2020.06.03 17:18,해리포터의 프리즌 이스케이프 / 헤르미온느의 콜로니아 둘다 최고네요~!,9
83,2020.06.03 09:45,대체로 무난하나 너무 무난해서 문제결말이 예측된다는 점에서 그닥 큰 흥미는 없었다.,6
84,2020.06.03 09:31,"재미있고, 스릴이 넘쳐서 영화볼동안 화장실도 못갔습니다, 나무로 열쇠를 만든다는 새롭고 신박한 방식이 재미있었습니다. 특히 보통 실제 역사를 기반으로 하면 그렇게 신박하지는 않는데 그 신박하지 않는다는 감을 깨 부수...",10
85,2020.06.02 05:19,숨쉴수가없음.. 심장 쫄깃쫄깃,10
86,2020.05.31 22:42,간절함이 무엇인지 알게해준 영화,10
87,2020.05.31 22:15,감옥 교도소라는 특정 공간에서 벌여지는 비밀리에 계획하고 진행한 탈출 장면과 들키지 않을까?  생각되는 극한의 긴장과 공포감이 영화를 보는 시간 내내 과몰입 할 정도로 지루 할 틈이 없었 던 것 같다~@,10
88,2020.05.31 21:57,보는동안 심장쫄려서 죽는줄;;배우들 연기도 좋았고 실화라니 정말 더 놀랐습니다!,10
89,2020.05.30 16:45,"열쇠 소리, 문여는 소리가 영화의 가장 극적인 요소",9
90,2020.05.26 21:30,체감 1년은 늙은 것 같은 긴장감과 몰입감,8
91,2020.05.25 02:40,"해리포터가 프리토리아 감옥 탈출하는 영화. 실화 기반이라 내가 몰랐던 남아공 아파르트헤이트에 관련된 역사에 대해 알 수 있어서 좋았다. 영화 다보고 나중에 아파르트헤이트에 대해서 찾아봐야 겠다고 생각하면서 영화를 봤다. 근데 감옥 중간 탈출 과정이 생략된게 너무 많아서 좀 별로였다. 뭐랄까 긴장감은 있는데 열쇠 만드는 과정같은게 갑자기 중간과정 생략되고 감옥 101일째 이렇게 나오면서 다 생략되어서 조금 아쉬웠다. 그래도 시간가는줄 모르고 몰입해서 보았고, 마지막에 감옥 탈출할때는 나름 긴장감 있었다. ",7
92,2020.05.25 00:36,우리가 잊지말아야할 선한분노,9
93,2020.05.24 11:23,긴장감은 최고인데 내용은 별거 없어요그냥 감옥탈출하고 끝나는 내용..,6
94,2020.05.23 23:32,긴장감만큼은 인정하는 부분이다,7
95,2020.05.23 06:51,"스릴 넘치는 탈옥장면, 그들에게는 자유와 정의가 있었다.마지막 장면에서 나도 모르게 승리의 탄성을..",9
96,2020.05.22 22:52,"탈옥물 특유의 두뇌싸움 보다, 실화에서 주는 쫄깃한 긴장감을 강조했다. 감동서사를 뺀 쇼생크 탈출 느낌이다. 캐릭터들의 서사가 무척 궁금한데, 그쪽으로는 별 조명을 안해줘서 아쉽. 다니엘 래드클리프의 해리포터 이미지 탈출기로도 볼만하다. ",8
97,2020.05.22 16:38,보는 내내 쫄깃쫄깃 했다.이게 실화라는 점 에서 또 한번 놀라웠다,9
98,2020.05.20 19:38,아 누군가 했더니 해리포터구나,10
99,2020.05.20 19:16,다니엘 해리포터랑 오버랩 한번도 안될만큼 연기력 미쳐돌아가셨고 실화바탕이라 자칫하면 그저 흘러가는대로 지나갔을 내용이 연출미쳐서 보는내내 지릴뻔 했습니다. 제발봐주세요 진짜 아 진짜 아직도 긴장감이 안가셤ㅎ어요,10
100,2020.05.19 20:47,대머리 분명 나갈수 있었는데 안나감(가족사진 볼때 나갈려고 결심하는 줄 앎)많은 생각을 하게 만드는 영화...,10
101,2020.05.17 20:28,영화가 마치는 순간까지 정말 몰입해서 봤습니다,10
102,2020.05.17 00:11,"다니엘 래트클리프 나와서 해리포터 생각나서 집중안될줄알았는데 전혀 아니었습니다 해리포터는 잊게만드는연기실력,,,  너무재밌게봤네요 코로나땜시 오랜만에 영화관가서 좋은 경험했네요",10
103,2020.05.16 22:01,심장 쫄깃쫄깃 쪼그라드는줄,9
104,2020.05.16 21:14,찐 재미잇음 강추ㅠ잼재맺ㅁ,10
105,2020.05.16 19:14,보는 내내 심장쫄리면서 봤다.결국 다 보고 생각나는건 인종차별이 정말 하루라도 빨리 없어져야한다는 생각이 들었다.,10
106,2020.05.15 23:45,기대를 안하고 봤는데 처음부터 끝까지 숨 쉬기 힘든 긴장감에 영화 끝나고 나오고 나서도 여운이 가시질 않네요,10
107,2020.05.15 18:16,5 / 15일 ~  정말 재미 있게 봤습니다 .긴장감 최고  ~ 강력추천 합니다 .,10
108,2020.05.14 01:08,몰입도 ㄷㄷ 긴장되서 손에 땀 남,10
109,2020.05.14 01:07,쫄깃쫄깃 두근두근 동료들과 팀플레이 멋지네요,8
110,2020.05.13 22:47,감동적인 영화임 적극 추전,10
111,2020.05.13 19:28,실화  + 실존 인물과 진짜 비슷한 캐스팅에쫄깃쫄깃하면서 봤습니다.... 탈옥영화중 손꼽힐듯,10
112,2020.05.12 22:32,"열쇠방사장님들, 한번쯤 보고 피식할영화.",10
113,2020.05.12 19:35,해리포터 이미지를 벗기위해 연기변신한 다니엘 래드클리프의 열연이 제대로 보였고 탈출씬마다 몰입감이 제대로 닿은 영화,10
114,2020.05.12 01:25,드디어 해리포터가 안보인다. 건즈아킴보같은거 찍지말고 이런거 많이찍자,8
115,2020.05.11 15:51,다니엘 래드클리프의 연기는 예전부터도 좋아했지만 이번 영화에서 더 빛을 발한거 같아요 실화소재라서 더 긴장감 넘치고 나중에는 같이 긴장하면서 봤어요 올 상반기 영화중에 최고인거 같아요,10
116,2020.05.10 22:54,긴장감 최고. 연기력도 최고. 팀이 다했네,10
117,2020.05.10 16:53,실화 기반이라 더 재밌었음! 만델라 대통령이 남아프리카 대통령으로 취임하기까지 엄청난 고난이 있었겠네요ㅠㅠ,10
118,2020.05.10 05:59,실화라서 더 신기하다.,7
119,2020.05.09 22:00,긴장감 넘치는 해리포터의 연기,8
120,2020.05.09 21:02,다니엘 래드클리프는 해리포터 때부터 느꼈지만 긴장하는 연기를 참 잘한다... 달달달 떠는데 내 심장까지 요동침,9
121,2020.05.09 18:06,스릴있고 쪼는 맛이 있음~!,9
122,2020.05.09 16:53,진짜 손에 땀이 쥐고 예상을 빗나가는 영화 와 정말 잘 봤습니다 ㅋㅋㅋ와 스릴,10
123,2020.05.09 10:01,"404일의 투옥기간중 자유에 대한 열망과 굳은 의지, 뛰어난 재주로 이루는 탈옥 이야기를 너무나 실감나게 만든 영화",10
124,2020.05.08 15:59,70년대 남아공 관련 내용이라 잘 모르겠지만 배우들 열연이 돋보이네요,7
125,2020.05.08 09:03,긴장장 몰입도 좋음.  현실적이고 과장없이 그대로인듯한 자연스러움.,9
126,2020.05.08 03:46,보는내내 스릴 넘치네요~보면서 계속 빨리빨리 외치게 되는 영화.,8
127,2020.05.06 23:41,명작급은 아니지만 재밌다 봐도 된다,8
128,2020.05.06 17:14,이게 실화라니 미쳤네요...개인적으로 좋아하는 연출스타일이라 더 좋았어요!,10
129,2020.05.06 16:58,전체적으로 균형잡힌 영화였어요잘 보고 갑니다~,10
130,2020.05.30 16:11,코로나 아니었으면 500만 이상각..,10
131,2020.05.24 13:15,정말 영화같은데 실화라 더욱 대단,10
132,2020.05.21 15:32,막 재밌는 내용은 아니지만 볼만하고스릴있기보단 전체적인 스토리가 맘에 들어요좋습니다,8
133,2020.05.19 21:29,배우들의 섬세한 연기가 너무 좋았습니다.떨림에서 느껴지는 긴장감과 언제 터질지 모르는 긴박감에 집중해서 보게 되었습니다.무엇보다 실화를 바탕으로 되어 있다는게 저 같은 현실주의자에게는 더 보기 편안했던 영화였습니다....,8
134,2020.05.14 21:13,처음부터 끝까지 긴장하면서 봄인생영화,10
135,2020.05.11 14:00,긴장감이나 배우들 연기 쩐다야,10
136,2020.05.10 18:14,실화라서 그런지 더 몰입해서 봤어요.배우들의 연기력이 엄청납니다.,8
137,2020.05.07 17:56,사람놀래키는 장면없이 SMOOTH하게 흘러가서 무난하다 느껴질지 모르지만 실화라고 생각하면 그 자체가 흥미로워지는 영화.,7
138,2020.05.06 16:42,기대 없었는데 재밌습니다~ ㅎㅎ,10
139,2020.05.06 15:15,요즘 볼 만한 영화 없었는데 오랜만에 좋은 작품 한 편 봤네요,10
140,2020.05.06 15:03,영화가 긴장감이 넘쳐서 한번 보면 끝까지 보게 됨! 강추!!,10
141,2020.05.23 17:28,열쇠만드는 이야기인듯,6
142,2020.06.09 21:26,아주심장이쫄깃해서 심장마비올듯,10
143,2020.06.08 03:36,왜탈출 하려는지 알겠다 뒷문이랑 정문이랑 개가까움ㅋㅋㅋ 정문이 바로 민간세상이고ㅋㅋ 이거 보고나니 열쇄기공사 될거같다;;;;,5
144,2020.06.08 02:53,와 긴장감 대박.. 코로나19영향으로 볼만한영화가 없는 요즘.. 간만에 잼나는 영화가~ 출연진도 빵빵하고 좋았음.,10
145,2020.06.07 23:48,'실화'라는 말이 주는 묵직한 설득력과 긴장감.,8
146,2020.06.07 18:54,아 진짜 얼마나 긴장되는지 탈옥 시도할때 내가 다 다 쫄리더라...,9
